"","year","gdp_growth"
"1",2023,5.5
"2",2022,4.8466348557707
"3",2021,7.59048947333467
"4",2020,-0.272766327438816
"5",2019,5.11415885767801
"6",2018,5.64794640709219
"7",2017,3.83795817364721
"8",2016,4.21351706814744
"9",2015,4.96772112759767
"10",2014,5.02011100232484
"11",2013,3.7978483925754
"12",2012,4.56867961444982
"13",2011,5.1211061197056
"14",2010,8.05847360290906
"15",2009,3.30693981631089
"16",2008,0.232282744812977
"17",2007,6.85072976998784
"18",2006,6.47249430015484
"19",2005,5.90666607980057
"20",2004,5.10429977629738
"21",2003,2.93247554570904
"22",2002,0.546859530175595
"23",2001,3.77990649795343
"24",2000,0.599695390807426
"25",1999,2.30538859522412
"26",1998,3.29021372249065
"27",1997,0.474901921293579
"28",1996,4.14683926876013
"29",1995,4.40621652482287
"30",1994,2.632784517837
"31",1993,0.353197256227247
"32",1992,-0.799493958641349
"33",1991,1.43834679171559
"34",1990,4.19205097155167
